epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
43,16770,0.013684454942360903,0.0020713170369466146,0.2939279282322297,89.70352564102564,99.73357371794872,10.296474358974365,0.2664262820512846,0.014125226419183273,0.010523095915589151,0.46875229859352113,85.18,99.46,14.819999999999993,0.5400000000000063
44,17160,0.013437125621697842,0.0017722802284436349,0.2838159572810699,90.15625,99.79366987179488,9.84375,0.2063301282051242,0.014325570456589325,0.012137926077540917,0.4509494185447693,85.53,99.32,14.469999999999999,0.6800000000000068
45,17550,0.013413613270490598,0.002037689013358874,0.2905419232753607,89.74559294871794,99.78365384615384,10.254407051282058,0.2163461538461604,0.013874247104306764,0.011144915713539606,0.458850151348114,85.38,99.4,14.620000000000005,0.5999999999999943
46,17940,0.013493998845418295,0.00224611392387977,0.2822248559731704,90.10016025641026,99.78766025641026,9.899839743589737,0.2123397435897374,0.014093622376647177,0.010237207895592798,0.4528747364521027,85.58,99.34,14.420000000000002,0.6599999999999966
47,18330,0.013527796207330165,0.002275679050347744,0.2851258732187442,90.0420673076923,99.74358974358974,9.957932692307693,0.2564102564102626,0.013837575912475586,0.01097225841087631,0.43659905872344973,86.33,99.35,13.670000000000002,0.6500000000000057
48,18720,0.013613427602327787,0.0019470771153767903,0.28038307015712444,90.10616987179488,99.74959935897436,9.893830128205124,0.2504006410256352,0.013807299770886385,0.01066630097884166,0.5027245820999146,85.07,99.26,14.930000000000007,0.7399999999999949
49,19110,0.013474159974318283,0.001922291975754958,0.2774462559284308,90.22836538461539,99.76963141025641,9.771634615384613,0.2303685897435912,0.013905721374704867,0.010876230046718935,0.5207305343627929,84.81,99.37,15.189999999999998,0.6299999999999955
50,19500,0.013437092609894582,0.002045794022388947,0.2794623457086392,90.32051282051282,99.79166666666667,9.679487179487182,0.2083333333333286,0.014052928248538247,0.011156284356419044,0.44706767901182176,85.88,99.46,14.120000000000005,0.5400000000000063
51,19890,0.013481070445134089,0.0019734847239958934,0.27814634310511444,90.30048076923077,99.75360576923077,9.699519230769226,0.2463942307692264,0.013972882983050768,0.010730571384671369,0.4580054337024689,85.46,99.44,14.540000000000006,0.5600000000000023
52,20280,0.013637218719873672,0.0019733704053438625,0.27746314948950057,90.35657051282051,99.79967948717949,9.643429487179489,0.200320512820511,0.013879866539677488,0.01074090185044687,0.44888381633758545,85.66,99.46,14.340000000000003,0.5400000000000063
53,20670,0.013744985751616649,0.0018693997309758112,0.2738404017419387,90.48677884615384,99.78565705128206,9.51322115384616,0.2143429487179418,0.01378226883803742,0.010888332053075862,0.44836175088882446,85.83,99.34,14.170000000000002,0.6599999999999966
54,21060,0.013490553391285432,0.0023720955237364156,0.27129183098291737,90.52684294871794,99.81169871794872,9.473157051282058,0.1883012820512846,0.013931769358960889,0.010595985605746885,0.4803007528305054,85.04,99.33,14.959999999999994,0.6700000000000017
55,21450,0.013630906740824381,0.0021801208838438378,0.2686944726185921,90.56290064102564,99.77564102564102,9.437099358974365,0.224358974358978,0.013985169084766243,0.010057953339588793,0.4883089858531952,84.5,99.31,15.5,0.6899999999999977
